entity,total_score,signals,last_seen,sample_text,stars
UNKNOWN,19.0,400,,"Test https://t.co/MZhxBf80Wn | @AdamBarretFSU An easy one for you. Falcons were ballhawks. Four turnovers. Well done. | What are you betting tonight? 🏈

Don't forget! We've reduced the juice for the full game point spreads and have $1 beers + $2 hot dogs at @WestgateVegas during the games 🍻🌭 https://t.co/Um8ECNfYZC",5
AND,6.0,3,,"Notable sharp action on NFL Week 2 odds at @CaesarsSports, per Joey Feazel:

Falcons -3.5 and -4.5
Rams +4 and +3.5
Chargers -1.5, -2 and -2.5
Lions +6 and +5.5 | From @SuperBookNV's John Murray: Sharp play on Dolphins +12.5 and +12.

Much more on tonight's game🔽🔽 https://t.co/eFV1Ve8ZnE | Notable sharp action on College Football Week 4 Odds at @CaesarsSports, per Joey Feazel:

Indiana -3.5 and -4.5
Oklahoma -4.5 and -6
Tulane +13
Temple +24.5",5
FROM,2.0,4,,"Canadians can tail our Chargers vs Raiders banger at @BET99Sportsbook tonight 👀🇨🇦

From +260 odds to +290 for:

- Chargers ML ⚡️
- Ashton Jeanty 69+ Rush Yards 💪
- Omarion Hampton 60+ Rush Yards 🌬️

Use code SBD to get a First-Bet Encore Up to $800🏈👇https://t.co/cdXhAFMOjS https://t.co/coB4MUZGHE | ""The @packers have looked like one of the best teams in football after impressive wins against two playoff teams from last year. Green Bay has quickly moved from +2000 to +650 to win the Super Bowl. Since Week 1, 29% of money (most) is on the Cheeseheads to lift the Lombardi | Canadians can tail our Dolphins vs Bills banger tonight at @BET99Sportsbook 👀🇨🇦

From +650 odds to +750 for:

- James Cook 125+ Rush + Rec Yards 👨🏻‍🍳
- Devon Achane 5+ Receptions 🐬
- Bills -9.5 🦬

Use code SBD to get a First-Bet Encore Up to $800🏈👇
https://t.co/9JV6MIZTFd https://t.co/0JOw196Ql6",0
RAMS,2.0,2,,"Some Week 3 NFL sharp action gathered from a few different sportsbooks:

Dolphins +12.5 
Colts -3
Vikings -2.5
Rams +4.5
Saints +7.5
49ers PK
Browns +9, +8.5 | Most lopsided Week 3 NFL games (by total 💵) at @BetMGM (current line shown):

86% of 💰 on 49ers -2.5
85% on Steelers -1.5
83% on Colts -4
83% on Cowboys -1
80% on LA Rams +3.5
73% on Saints +7.5
72% on Chiefs -6.5",0
RICE,2.0,1,,"Rice at Charlotte $$$

56% Charlotte +2
65% Rice -124
64% O 42.5

Two-way sharp, but Charlotte +2.5+ more significant

Big Fellas:
$27,500 Charlotte +2.5
$27,500 Rice -2",0
WAS,0.0,25,,"Cowboys' upset-dodging win a boon for bettors, a bust for bookmakers.

""We always need a favorite to lose. And Dallas definitely should have lost. That’s life in the NFL."" – @SuperBookNV's John Murray

More on the betting weekend that was, from @NFLonFOX:
https://t.co/iCPvABsmYU | @Zoetonice Yeah I saw that most money was on over it appeared. Line has moved down approx 3 points though for each game. They are fine with leaving that much money on over after movement which is interesting | WHO JUST SCORED A TOUCHDOWN ⁉️ 

Ryan Miller was +2000 to score a touchdown  🤯
https://t.co/0dcQNz3Iwy",0
NO,0.0,10,,"@RawUnfilteredd @SuperBookNV @vegasmurray As Murray mentioned: The SuperBook has the Ravens ranked No. 1 in its power rankings. Other books presumably do, too. If not No. 1, then certainly No. 2 or No. 3.

A Week 1 road loss at Buffalo -- with the Bills winning in miracle fashion -- didn't really do much to change | NFL Odds Week 2: Buccaneers vs. Texans kicks off a Monday Night Football doubleheader.

@BetMGM is hoping to thread the needle with a Houston win by 1 or 2.

From trading manager Christian Cipollini:

""It's a tight window, but Texans win and no cover would be ideal.""

More below | Heads-up to the handful of people who already bet Wednesday's Lynx - Valkyries WNBA game:

There is a venue change, so bets on original market have been no-actioned and a new market has opened.",0
BUF,0.0,6,,"Early NFL Week 3 bet count

79% BUF -11.5 v MIA
77% IND -3.5 @ TEN
84% ATL -5 @ CAR
67% WAS -3.5 v LV
74% GB -7.5 @ CLE
51% CIN +3 @ MIN
56% LAR +3 @ PHI
67% PIT -1.5 @ NE
54% NYJ +7 @ TB
60% HOU +1.5 @ JAX
83% LAC -2.5 v DEN
57% SEA -7.5 v NO
70% DAL pk @ CHI | @PossiblyRubies Starting to see it your way.. If BUF is 25% which teams does that come out of? | AFC DIVISIONAL ODDS (W/L for us)

EAST
BUF -1400 (L)
NE +700 (W)
MIA +3300 (W)
NYJ +6600 (W)

NORTH
BAL -400 (L)
PIT +475 (W)
CIN +800 (W)
CLE +5500 (W)

SOUTH
IND +140 (W)
JAX +200 (W)
HOU +240 (W)
TEN +1600 (W)

WEST
LAC even (W)
KC +230 (L)
DEN +325 (L)
LV +1400 (W)",0
HOU,0.0,5,,"MNF double-header early $$$

BUCS @ TEXANS
63% HOU -2.5
62% TB +125
54% U 42.5

CHARGERS @ RAIDERS
67% LAC -3.5
89% LAC -190
68% O 46.5 | Updated Monday Night Football betting from @BetMGM

Most bet player props🎟️
1. C.J. Stroud (HOU) Over 13.5 Rushing yards -110
2. Omarion Hampton (LAC) Over 57.5 Rushing yards -115
3. Justin Herbert (LAC) Over 16.5 Rushing yards -125
4. Nico Collins (HOU) Over 73.5 Receiving yards https://t.co/rauDcqvWfA | Buccaneers at Texans $$$

55% HOU -3
55% HOU -150
66% O 42.5

Parlays
57% TB spread
58% TB ML
80% O

Teasers
71% TB
79% O",0
CUBS,0.0,4,,"Monday MLB betting from @BetMGM 

Most bet teams🎟️
1. Chicago Cubs -120
2. New York Yankees -190
3. Philadelphia Phillies +100
4. Toronto Blue Jays -135
5. Cincinnati Reds -105

Most bet teams💰
1. Chicago Cubs -120
2. New York Yankees -190
3. Toronto Blue Jays -135
4. https://t.co/0v7PctvC2P | Tuesday MLB betting at @BetMGM 

Most bet teams🎟️
1. Chicago Cubs +110
2. Milwaukee Brewers -250
3. Detroit Tigers -145
4. Los Angeles Dodgers -135
5. Atlanta Braves -145

Most bet teams💰
1. New York Yankees -160
2. Toronto Blue Jays -110
3. New York Mets -125
4. Cincinnati Reds https://t.co/5lEB3hC4oh | Tuesday MLB betting at @BetMGM 

Most bet teams🎟️
1. Chicago Cubs +110
2. Milwaukee Brewers -250
3. Detroit Tigers -145
4. Los Angeles Dodgers -135
5. Atlanta Braves (Game 1) -145

Most bet teams💰
1. New York Yankees -160
2. Toronto Blue Jays -110
3. New York Mets -125
4. https://t.co/UtHmwF2QAh",0
