date,league,game,away_team,home_team,market,last_tickets_pct,delta_tickets_pct,last_handle_pct,delta_handle_pct,last_line,delta_line,observations,sources,twitter_weight,first_seen,last_seen
2025-09-20,MLB,MLB::Estimating resolution as 205 @ EF srorrssooe +©Betting Splits Expanded Splits,Estimating resolution as 205,EF srorrssooe +©Betting Splits Expanded Splits,Spread,74.0,0.0,59.0,0.0,110.0,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,MLB,MLB::Estimating resolution as 218 @ El SPORTSBOOK Betting Splits Expanded Splits,Estimating resolution as 218,El SPORTSBOOK Betting Splits Expanded Splits,Spread,36.0,0.0,54.0,0.0,424.0,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,MLB,"MLB::Estimating resolution as 234 @ MLB - Tuesday,Sep 9 Money Handle Bets Total Handle Bets RL Handl",Estimating resolution as 234,"MLB - Tuesday,Sep 9 Money Handle Bets Total Handle Bets RL Handl",Spread,32.0,0.0,41.0,0.0,-1.0,0.0,1,TW_OTHER_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,MLB,MLB::Estimating resolution as 235 @ BRACCO Betting Splits Expanded Splits,Estimating resolution as 235,BRACCO Betting Splits Expanded Splits,ML,4.0,0.0,30.0,0.0,133.0,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,MLB,MLB::M Maryland @ Western Illinois,M Maryland,Western Illinois,Spread,89.0,0.0,65.0,0.0,275.0,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,MLB,MLB::Spread @ Kansas City Chiefs ad,Spread,Kansas City Chiefs ad,Spread,60.0,0.0,,,3.0,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,NFL,NFL::rs Los Angeles Chargers @ Las Vegas Raiders,rs Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,0.0,3.0,0.0,5.0,0.0,1,TW_OTHER_FAM,18.25,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,Unknown,Unknown::& Washington ST @ UC Davis Aggies,& Washington ST,UC Davis Aggies,Spread,37.0,0.0,82.0,0.0,4.0,0.0,1,TW_OTHER_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,Unknown,"Unknown::Estimating resolution as 200 @ CFB - Saturday,Sep 13 Spread Handle Total Handle Bets | Money Ha",Estimating resolution as 200,"CFB - Saturday,Sep 13 Spread Handle Total Handle Bets | Money Ha",Spread,100.0,0.0,,,4.0,0.0,1,TW_OTHER_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,Unknown,Unknown::Estimating resolution as 264 @ SPORTSBOOK Betting Splits Expanded Splits,Estimating resolution as 264,SPORTSBOOK Betting Splits Expanded Splits,Spread,38.0,0.0,,,2.5,0.0,1,CIRCA_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,Unknown,Unknown::Handle Bets Total Handle Bets Money dle Bets @ Pittsburgh Steelers,Handle Bets Total Handle Bets Money dle Bets,Pittsburgh Steelers,Spread,21.0,0.0,46.0,0.0,6.0,0.0,1,CIRCA_FAM,7.5,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
2025-09-20,Unknown,Unknown::s Total Bets @ FU,s Total Bets,FU,Spread,82.0,0.0,37.0,0.0,6.0,0.0,1,TW_OTHER_FAM,0.0,2025-09-19T20:32:59+00:00,2025-09-19T20:32:59+00:00
