timestamp,game_key,away_team,home_team,market,tickets_pct,handle_pct,line
2025-09-19 20:32:59+00:00,LAS VEGAS RAIDERS|LOS ANGELES CHARGERS,Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,3.0,5.0
2025-09-19 20:32:59+00:00,& WASHINGTON ST|UC DAVIS AGGIES,& Washington ST,UC Davis Aggies,Spread,37.0,82.0,4.0
2025-09-19 20:32:59+00:00,M MARYLAND|WESTERN ILLINOIS,M Maryland,Western Illinois,Spread,89.0,65.0,275.0
2025-09-19 20:52:08+00:00,LAS VEGAS RAIDERS|LOS ANGELES CHARGERS,Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,3.0,5.0
2025-09-19 20:52:08+00:00,& WASHINGTON ST|UC DAVIS AGGIES,& Washington ST,UC Davis Aggies,Spread,37.0,82.0,4.0
2025-09-19 20:52:08+00:00,M MARYLAND|WESTERN ILLINOIS,M Maryland,Western Illinois,Spread,89.0,65.0,275.0
2025-09-19 21:26:53+00:00,LAS VEGAS RAIDERS|LOS ANGELES CHARGERS,Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,3.0,5.0
2025-09-19 21:26:53+00:00,& WASHINGTON ST|UC DAVIS AGGIES,& Washington ST,UC Davis Aggies,Spread,37.0,82.0,4.0
2025-09-19 21:26:53+00:00,M MARYLAND|WESTERN ILLINOIS,M Maryland,Western Illinois,Spread,89.0,65.0,275.0
2025-09-19 21:39:55+00:00,LAS VEGAS RAIDERS|LOS ANGELES CHARGERS,Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,3.0,5.0
2025-09-19 21:39:55+00:00,& WASHINGTON ST|UC DAVIS AGGIES,& Washington ST,UC Davis Aggies,Spread,37.0,82.0,4.0
2025-09-19 21:39:55+00:00,M MARYLAND|WESTERN ILLINOIS,M Maryland,Western Illinois,Spread,89.0,65.0,275.0
2025-09-19 21:52:17+00:00,M MARYLAND|WESTERN ILLINOIS,M Maryland,Western Illinois,Spread,89.0,65.0,275.0
2025-09-19 21:52:17+00:00,LAS VEGAS RAIDERS|LOS ANGELES CHARGERS,Los Angeles Chargers,Las Vegas Raiders,Spread,35.0,3.0,5.0
